site_id,host,url,has_data,synthetic_index,operator_note,tags,notes
_root,mullmania.com,https://mullmania.com/,false,false,,github|main|entrypoint|framework|framework-core,Apex _root stays in place for this pass. | Managed apex homepage for mullmania.com. | Core Mullmania apex surface. | Main site. | Three.js frog bowling root site. | ipzom.com apex deploy. Shell only — image/API URLs continue to resolve cross-origin against https://lorem-ipzom.mullmania.com via shared/data.js LIVE_SITE_ORIGIN. Gated by x-site-key (CloudFront Function ipzom-router); flip-public Lambda provides operator-only permanent toggle.
action-switch-grid,action-switch-grid.mullmania.com,https://action-switch-grid.mullmania.com/,false,false,,curated,Renamed from papaya-8482 during the April 2026 first-pass cleanup.
active-wall-note-sequencer,active-wall-note-sequencer.mullmania.com,https://active-wall-note-sequencer.mullmania.com/,false,false,,curated,Renamed from mary-had-a-little-lamb-5747 during the April 2026 eleventh-pass cleanup.
adam-nichols-demo,adam-nichols-demo.mullmania.com,https://adam-nichols-demo.mullmania.com/,false,false,,host-rescue|dashboard|static-site|batch3,
ads,ads.mullmania.com,https://ads.mullmania.com/,false,false,,mullmania|public-frontdoor|repo-artifacts|canon-deploy-ready|dual-static|github|curated|asset-catalog|github-pages|mullmania-mirror|static-gallery,Root-publishable static gallery of ad assets and browsing smoke path. | Validated canonical repo-local deploy contract.
advance-on-miss-note-bounce,advance-on-miss-note-bounce.mullmania.com,https://advance-on-miss-note-bounce.mullmania.com/,false,false,,curated,Renamed from mary-had-a-little-lamb-7556 during the April 2026 eleventh-pass cleanup.
adventure-quest,adventure-quest.mullmania.com,https://adventure-quest.mullmania.com/,false,false,,mullmania|public-frontdoor|repo-artifacts|github|curated|games,Interactive Mullmania starfield and launch controls. | Saved one-file RPG.
agent,agent.mullmania.com,https://agent.mullmania.com/,false,false,,mullmania|public-frontdoor|repo-artifacts|github|curated|github-pages|mullmania-mirror|ui-framework|fun-experiment,"Hosts the live doctrine catalogs, recipe builder data, and compose contract used by Valet and other launch surfaces. | Publishes the science-art app foundry recipe so remote operators can launch new app builds with explicit runtime profiles. | ['Generic agent prompt asset repo. Canon tool surface (header + tabs + sidebar workspace). Build step renders rules into tabs/*.html fragments referenced by sitemap.json.']"
agent-guard-rails,agent-guard-rails.mullmania.com,https://agent-guard-rails.mullmania.com/,false,false,,mullmania|public-frontdoor|repo-artifacts|github|curated|tooling|data,Repo docs page. | Site index. PWA enabled. | Defunct repo tombstone; superseded by mist83/agent.
agent-rules,agent-rules.mullmania.com,https://agent-rules.mullmania.com/,false,false,,mullmania|public-frontdoor|repo-artifacts|github|curated|tooling|data,['Agent rules and prompt asset repo. Canon tool surface (header + tabs + sidebar workspace). Build step renders rules into tabs/*.html fragments referenced by sitemap.json.'] | Site index. PWA enabled. | Migrated alias; GitHub redirects mist83/agent-rules to mist83/agent.
ai-deadline-perspective,ai-deadline-perspective.mullmania.com,https://ai-deadline-perspective.mullmania.com/,false,false,,curated,Renamed from perspective-shift-8324 during the April 2026 ninth-pass cleanup.
